Course Name,University,Difficulty Level,Course Rating,Course URL,Course Description,Skills,Expected Department,Expected Primary Subject
Agile Projects:  Developing Tasks with Taiga,Coursera Project Network,Beginner,4,https://www.coursera.org/learn/developing-agile-tasks-taiga,"By the end of this guided project, you will be fluent in creating tasks for Agile projects based on previous project phases. This will enable you to identify ""How"" the customer/user will experience the product or service. You will learn how to encapsulate value for the customer in these tasks.   This is essential for generating positive results for your business venture. Furthermore, this guided project is designed to engage and harness your visionary and exploratory abilities. You will use proven models in Agile Project Management with Taiga to shape the development roadmap of products and services.   We will practice critically defining how user stories become valuable tasks for creating functionality for products and services.",project  modeling  Project Management  agile management  user story  presentation  Product Development  Leadership and Management  documents  Web Design business business-strategy,Programming,Management
Esports Management Capstone Project,"University of California, Irvine",Beginner,4.4,https://www.coursera.org/learn/esports-management-capstone-project,"We will analyze the pros and cons of creating a single or multiple Esport organization and recommend an effective branding strategy for a hypothetical Esport organization based on current Esport branding considerations. You will develop a plan for recruiting funding resources for a hypothetical Esports organization and choose an Esport organization role of interest, other than Owner, and describe your reasoning.",Average  Planning  Leadership and Management  Peer Review  Strategy  peering  evaluation  Recruiting  project  interest business leadership-and-management,Business,Leadership
Hacking and Patching,University of Colorado System,Advanced,3.4,https://www.coursera.org/learn/hacking-patching,"In this MOOC, you will learn how to hack web apps with command injection vulnerabilities in a web site of your AWS Linux instance.   You will learn how to search valuable information on a typical Linux systems with LAMP services, and deposit and hide Trojans for future exploitation.  You will learn how to patch these web apps with input validation using regular expression. You will learn a security design pattern to avoid introducing injection vulnerabilities by input validation and replacing generic system calls with specific function calls.  You will learn how to hack web apps with SQL injection vulnerabilities and retrieve user profile information and passwords.  You will learn how to patch them with input validation and SQL parameter binding.  You will learn the hacking methodology, Nessus tool for scanning vulnerabilities, Kali Linux for penetration testing, and Metasploit Framework for gaining access to vulnerable Windows Systems, deploying keylogger, and perform Remote VNC server injection.  You will learn security in memory systems and virtual memory layout, and understand buffer overflow attacks and their defenses.  You will learn how to clone a Kali instance with AWS P2 GPU support and perform hashcat password cracking using dictionary attacks and known pattern mask attacks.",Security Design  design pattern  web application  internet security  SQL  select (sql)  metasploit project  penetration test  security  password cracking computer-science computer-security-and-networks,Programming,Security
Business Statistics and Analysis Capstone,Rice University,Beginner,4.7,https://www.coursera.org/learn/business-statistics-analysis-capstone,"The Business Statistics and Analysis Capstone is an opportunity to apply various skills developed across the four courses in the specialization to a real life data. The Capstone, in collaboration with an industry partner uses publicly available �Housing Data� to pose various questions typically a client would pose to a data analyst. Your job is to do the relevant statistical analysis and report your findings in response to the questions in a way that anyone can understand. Please remember that this is a Capstone, and has a degree of difficulty/ambiguity higher than the previous four courses. The aim being to mimic a real life application as close as possible.",Statistical Analysis  Microsoft Excel  business analytics  Regression Analysis  General Statistics  Data Analysis  Regression  analytics  analysis  Business Analysis data-science data-analysis,Business,Analysis
Grab Data Fast with Vertical and Horizontal LOOKUP,Coursera Project Network,Beginner,4.5,https://www.coursera.org/learn/grab-data-fast-with-vertical-and-horizontal-lookup-in-google-sheets,"Data can come our way in multiple forms and from multiple file types. It�s likely that at some point you will be faced with a data set that includes categories and subcategories under one heading or under headings with nested subheadings. Cutting through the file structure can seem like a time-consuming task, so it is critical to leverage VLOOKUP and HLOOKUP to pull out the needed data quickly. In this course you will understand how lookup tables work and apply VLOOKUP and HLOOKUP formulas to quickly extract data by treating a section of your spreadsheet as a lookup table. You will do this as we work side-by-side in the free-to-use software Google Sheets.  By the end of this course, you will understand use cases for using vertical and horizontal lookup to extract data when data sets have categories configured with multiple levels. You will also be able to confidently apply VLOOKUP and HLOOKUP formulas to grab data in any spreadsheet software.   Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",evaluation  software  presentation  lookup table  Spreadsheet Software  Benefits  spreadsheet  project  index  fasting business business-essentials,Programming,Spreadsheets
Global Health: An Interdisciplinary Overview,University of Geneva,Beginner,4.6,https://www.coursera.org/learn/global-health-overview,"This course proposes an overview of current global health challenges drawing on the insights of several academic disciplines including medicine, public health, law, economics, social sciences and humanities. This interdisciplinary approach will guide the student into seven critical topics in global health.",sustainability  research and development  Communication  health system  Leadership and Management  health research  global  disease  drug development  public health life-sciences public-health,Health,R&D
Python Programming Essentials,Rice University,Beginner,4.8,https://www.coursera.org/learn/python-programming,"This course will introduce you to the wonderful world of Python programming!  We'll learn about the essential elements of programming and how to construct basic Python programs. We will cover expressions, variables, functions, logic, and conditionals, which are foundational concepts in computer programming. We will also teach you how to use Python modules, which enable you to benefit from the vast array of functionality that is already a part of the Python language. These concepts and skills will help you to begin to think like a computer programmer and to understand how to go about writing Python programs.  By the end of the course, you will be able to write short Python programs that are able to accomplish real, practical tasks. This course is the foundation for building expertise in Python programming. As the first course in a specialization, it provides the necessary building blocks for you to succeed at learning to write more complex Python programs.  This course uses Python 3.  While many Python programs continue to use Python 2, Python 3 is the future of the Python programming language. This first course will use a Python 3 version of the CodeSkulptor development environment, which is specifically designed to help beginning programmers learn quickly.  CodeSkulptor runs within any modern web browser and does not require you to install any software, allowing you to start writing and running small programs immediately.  In the later courses in this specialization,  we will help you to move to more sophisticated desktop development environments.",semantics  Python Programming  coding conventions  codeskulptor  Problem Solving  syntax  Computer Programming  programming style  python syntax and semantics  euler's totient function computer-science software-development,Programming,Python
Creating Dashboards and Storytelling with Tableau,"University of California, Davis",Advanced,4.6,https://www.coursera.org/learn/dataviz-dashboards,"Leveraging the visualizations you created in the previous course, Visual Analytics with Tableau, you will create dashboards that help you identify the story within your data, and you will discover how to use Storypoints to create a powerful story to leave a lasting impression with your audience.  You will balance the goals of your stakeholders with the needs of your end-users, and be able to structure and organize your story for maximum impact. Throughout the course you will apply more Advanced functions within Tableau, such as hierarchies, actions and parameters to guide user interactions.  For your final project, you will create a compelling narrative to be delivered in a meeting, as a static report, or in an interactive display online.",neuroscience  Data Visualization  Storytelling  tableau software  business analytics  checklists  software  method of analytic tableaux  javascript syntax  audience data-science data-analysis,Programming,Data Science
Parallel programming,�cole Polytechnique F�d�rale de Lausanne,Beginner,4.4,https://www.coursera.org/learn/parprog1,"With every smartphone and computer now boasting multiple processors, the use of functional ideas to facilitate parallel programming is becoming increasingly widespread. In this course, you'll learn the fundamentals of parallel programming, from task parallelism to data parallelism. In particular, you'll see how many familiar ideas from functional programming map perfectly to to the data parallel paradigm. We'll start the nuts and bolts how to effectively parallelize familiar collections operations, and we'll build up to parallel collections, a production-ready data parallel collections library available in the Scala standard library. Throughout, we'll apply these concepts through several hands-on examples that analyze real-world data, such as popular algorithms like k-means clustering.  Learning Outcomes. By the end of this course you will be able to:  - reason about task and data parallel programs, - express common algorithms in a functional style and solve them in parallel, - competently microbenchmark parallel code, - write programs that effectively use parallel collections to achieve performance  Recommended background: You should have at least one year programming experience. Proficiency with Java or C# is ideal, but experience with other languages such as C/C++, Python, Javascript or Ruby is also sufficient. You should have some familiarity using the command line. This course is intended to be taken after Functional Program Design in Scala: https://www.coursera.org/learn/progfun2.",Data Structures  parallel algorithm  openfabrics alliance  task parallelism  unified parallel c  Algorithms  data parallelism  scala programming  parallel computing  Computer Programming computer-science software-development,Programming,Data Science
Recommendation Systems with TensorFlow on GCP,Google Cloud,Advanced,4.2,https://www.coursera.org/learn/recommendation-models-gcp,"In this course, you'll apply your knowledge of classification models and embeddings to build a ML pipeline that functions as a recommendation engine.  � Devise a content-based recommendation engine � Implement a collaborative filtering recommendation engine � Build a hybrid recommendation engine with user and content embeddings  >>> By enrolling in this course you agree to the Qwiklabs Terms of Service as set out in the FAQ and located at: https://qwiklabs.com/terms_of_service <<<",systems architecture  Cloud Computing  Google Cloud Platform  Tensorflow  Deep Learning  Cloud Platforms  Machine Learning  matrices  Artificial Neural Networks  recommender systems data-science machine-learning,Programming,Data Science
